narration_id, participant_id, video_id, narration_timestamp, start_timestamp, stop_timestamp, start_frame, stop_frame, narration, verb, verb_class, noun, noun_class, all_nouns, all_noun_classes
P01_01_225, P01, P01_01, 00:17:12.129, 00:17:13.60, 00:17:14.56, 62015, 62073, put down spatula, put-down, 1, spatula, 20, ['spatula'], [20]
P01_01_226, P01, P01_01, 00:17:14.730, 00:17:15.04, 00:17:17.63, 62102, 62257, take spoon, take, 0, spoon, 1, ['spoon'], [1]
P01_01_227, P01, P01_01, 00:17:16.279, 00:17:16.96, 00:17:21.42, 62217, 62485, take glass, take, 0, glass, 10, ['glass'], [10]
P01_01_228, P01, P01_01, 00:17:25.799, 00:17:20.23, 00:17:28.68, 62413, 62920, put down, put-down, 1, glass, 10, ['glass'], [10]
P01_01_229, P01, P01_01, 00:17:20.669, 00:17:21.52, 00:17:26.04, 62491, 62762, put down glass, put-down, 1, glass, 10, ['glass'], [10]
P01_01_23, P01, P01_01, 00:00:59.079, 00:00:59.05, 00:01:02.30, 3543, 3738, open tap, turn-on, 6, tap, 0, ['tap'], [0]
P01_01_231, P01, P01_01, 00:17:29.220, 00:17:31.67, 00:17:32.77, 63100, 63166, take spatula, take, 0, spatula, 20, ['spatula'], [20]
P01_01_233, P01, P01_01, 00:17:44.700, 00:17:46.54, 00:17:47.60, 63992, 64055, put down spatula, put-down, 1, spatula, 20, ['spatula'], [20]
P01_01_239, P01, P01_01, 00:18:04.429, 00:18:06.44, 00:18:07.95, 65186, 65277, take spatula, take, 0, spatula, 20, ['spatula'], [20]
P01_01_243, P01, P01_01, 00:18:50.129, 00:18:51.93, 00:18:53.76, 67915, 68025, put down spatula, put-down, 1, spatula, 20, ['spatula'], [20]
P01_01_246, P01, P01_01, 00:19:37.500, 00:19:38.58, 00:19:40.53, 70714, 70831, put down spatula, put-down, 1, spatula, 20, ['spatula'], [20]
P01_01_248, P01, P01_01, 00:20:12.460, 00:20:14.16, 00:20:15.40, 72849, 72924, take spatula, take, 0, spatula, 20, ['spatula'], [20]
P01_01_249, P01, P01_01, 00:20:23.120, 00:20:15.19, 00:20:25.84, 72911, 73550, put down spatula, put-down, 1, spatula, 20, ['spatula'], [20]
P01_01_251, P01, P01_01, 00:20:24.179, 00:20:25.60, 00:20:26.60, 73536, 73596, take spoon, take, 0, spoon, 1, ['spoon'], [1]
P01_01_254, P01, P01_01, 00:20:36.309, 00:20:36.14, 00:20:38.93, 74168, 74335, put down spoon, put-down, 1, spoon, 1, ['spoon'], [1]
P01_01_257, P01, P01_01, 00:21:02.129, 00:21:03.99, 00:21:05.35, 75839, 75921, take glass and bottle, take, 0, glass, 10, ['glass', 'bottle'], [10, 15]
P01_01_261, P01, P01_01, 00:21:15.580, 00:21:16.12, 00:21:17.61, 76567, 76656, put down glass, put-down, 1, glass, 10, ['glass'], [10]
P01_01_262, P01, P01_01, 00:21:18.879, 00:21:20.72, 00:21:21.54, 76843, 76892, take spatula, take, 0, spatula, 20, ['spatula'], [20]
P01_01_265, P01, P01_01, 00:21:32.480, 00:21:35.96, 00:21:36.98, 77757, 77818, put down spatula, put-down, 1, spatula, 20, ['spatula'], [20]
P01_01_266, P01, P01_01, 00:21:42.610, 00:21:44.50, 00:21:45.45, 78270, 78327, take spatula, take, 0, spatula, 20, ['spatula'], [20]
P01_01_268, P01, P01_01, 00:21:46.399, 00:21:51.47, 00:21:54.03, 78688, 78841, put down spatula, put-down, 1, spatula, 20, ['spatula'], [20]
P01_01_271, P01, P01_01, 00:22:32.190, 00:22:33.66, 00:22:35.47, 81219, 81328, take spoon, take, 0, spoon, 1, ['spoon'], [1]
P01_01_274, P01, P01_01, 00:22:45.840, 00:22:46.01, 00:22:49.61, 81960, 82176, put down spoon, put-down, 1, spoon, 1, ['spoon'], [1]
P01_01_276, P01, P01_01, 00:23:11.860, 00:23:12.79, 00:23:15.13, 83567, 83707, take saucepan, take, 0, saucepan, 5, ['saucepan'], [5]
P01_01_28, P01, P01_01, 00:01:20.469, 00:01:22.19, 00:01:23.19, 4931, 4991, close tap, turn-off, 8, tap, 0, ['tap'], [0]
P01_01_282, P01, P01_01, 00:23:42.990, 00:23:44.20, 00:23:45.98, 85452, 85558, put down saucepan, put-down, 1, saucepan, 5, ['saucepan'], [5]
P01_01_284, P01, P01_01, 00:23:46.759, 00:23:48.37, 00:23:49.19, 85702, 85751, put down spatula, put-down, 1, spatula, 20, ['spatula'], [20]
P01_01_285, P01, P01_01, 00:23:48.610, 00:23:49.49, 00:23:50.24, 85769, 85814, take spatula, take, 0, spatula, 20, ['spatula'], [20]
P01_01_287, P01, P01_01, 00:23:54.970, 00:23:56.35, 00:23:57.03, 86181, 86221, put down spatula, put-down, 1, spatula, 20, ['spatula'], [20]
P01_01_292, P01, P01_01, 00:24:02.919, 00:24:03.85, 00:24:04.93, 86631, 86695, take spatula, take, 0, spatula, 20, ['spatula'], [20]
P01_01_301, P01, P01_01, 00:25:46.679, 00:25:48.75, 00:25:49.85, 92925, 92991, put down spatula, put-down, 1, spatula, 20, ['spatula'], [20]
P01_01_305, P01, P01_01, 00:25:55.970, 00:25:56.82, 00:25:58.67, 93409, 93520, take spatula, take, 0, spatula, 20, ['spatula'], [20]
P01_01_31, P01, P01_01, 00:01:32.149, 00:01:32.53, 00:01:34.09, 5551, 5645, take grater, take, 0, grater, 96, ['grater'], [96]
P01_01_312, P01, P01_01, 00:26:13.289, 00:26:14.19, 00:26:15.30, 94451, 94518, put down spatula, put-down, 1, spatula, 20, ['spatula'], [20]
P01_01_313, P01, P01_01, 00:26:14.409, 00:26:15.37, 00:26:17.29, 94522, 94637, take plate, take, 0, plate, 2, ['plate'], [2]
P01_01_314, P01, P01_01, 00:26:16.220, 00:26:17.78, 00:26:19.15, 94666, 94749, put down plate, put-down, 1, plate, 2, ['plate'], [2]
P01_01_315, P01, P01_01, 00:26:17.220, 00:26:19.22, 00:26:20.16, 94753, 94809, take spatula, take, 0, spatula, 20, ['spatula'], [20]
P01_01_32, P01, P01_01, 00:01:37.630, 00:01:35.28, 00:01:39.56, 5716, 5973, take pan, take, 0, pan, 5, ['pan'], [5]
P01_01_321, P01, P01_01, 00:26:57.749, 00:26:58.16, 00:27:00.51, 97089, 97230, put down spatula, put-down, 1, spatula, 20, ['spatula'], [20]
P01_01_322, P01, P01_01, 00:26:59.950, 00:27:00.99, 00:27:03.13, 97259, 97387, put down pan, put-down, 1, pan, 5, ['pan'], [5]
P01_01_323, P01, P01_01, 00:27:04.259, 00:27:05.28, 00:27:06.96, 97516, 97617, open tap, turn-on, 6, tap, 0, ['tap'], [0]
P01_01_324, P01, P01_01, 00:27:05.639, 00:27:07.07, 00:27:09.70, 97624, 97782, washing pan, wash, 2, pan, 5, ['pan'], [5]
P01_01_325, P01, P01_01, 00:27:08.710, 00:27:10.12, 00:27:13.57, 97807, 98014, wash saucepan, wash, 2, saucepan, 5, ['saucepan'], [5]
P01_01_327, P01, P01_01, 00:27:12.820, 00:27:14.97, 00:27:16.13, 98098, 98167, close tap, turn-off, 8, tap, 0, ['tap'], [0]
P01_01_328, P01, P01_01, 00:27:16.700, 00:27:17.63, 00:27:19.73, 98257, 98383, take plate, take, 0, plate, 2, ['plate'], [2]
P01_01_329, P01, P01_01, 00:27:18.639, 00:27:20.40, 00:27:21.69, 98424, 98501, put down plate, put-down, 1, plate, 2, ['plate'], [2]
P01_01_33, P01, P01_01, 00:01:39.149, 00:01:40.74, 00:01:42.26, 6044, 6135, put down pan, put-down, 1, pan, 5, ['pan'], [5]
P01_01_49, P01, P01_01, 00:04:29.020, 00:04:30.43, 00:04:32.16, 16225, 16329, take spatula, take, 0, spatula, 20, ['spatula'], [20]
P01_01_56, P01, P01_01, 00:04:52.960, 00:04:54.35, 00:04:55.60, 17661, 17736, put down spatula, put-down, 1, spatula, 20, ['spatula'], [20]
P01_01_59, P01, P01_01, 00:05:00.050, 00:05:01.30, 00:05:03.46, 18078, 18207, open tap, turn-on, 6, tap, 0, ['tap'], [0]
P01_01_61, P01, P01_01, 00:05:13.669, 00:05:15.03, 00:05:15.94, 18901, 18956, close tap, turn-off, 8, tap, 0, ['tap'], [0]
P01_01_66, P01, P01_01, 00:05:44.470, 00:05:46.01, 00:05:47.67, 20760, 20860, put down cutting board and knife, put-down, 1, board:cutting, 18, ['board:cutting', 'knife'], [18, 4]
P01_01_72, P01, P01_01, 00:06:06.080, 00:06:07.34, 00:06:08.34, 22040, 22100, take spatula, take, 0, spatula, 20, ['spatula'], [20]
P01_01_74, P01, P01_01, 00:06:16.289, 00:06:17.83, 00:06:19.31, 22669, 22758, put down spatula, put-down, 1, spatula, 20, ['spatula'], [20]
P01_01_80, P01, P01_01, 00:06:27.810, 00:06:30.52, 00:06:31.28, 23431, 23476, take spatula, take, 0, spatula, 20, ['spatula'], [20]
P01_01_81, P01, P01_01, 00:06:29.470, 00:06:30.95, 00:06:32.13, 23457, 23527, take knife, take, 0, knife, 4, ['knife'], [4]
P01_01_85, P01, P01_01, 00:07:04.300, 00:07:04.69, 00:07:06.42, 25481, 25585, put down knife, put-down, 1, knife, 4, ['knife'], [4]
P01_01_87, P01, P01_01, 00:07:09.080, 00:07:09.74, 00:07:13.81, 25784, 26028, open tap, turn-on, 6, tap, 0, ['tap'], [0]
P01_01_90, P01, P01_01, 00:07:19.930, 00:07:21.50, 00:07:22.25, 26490, 26535, close tap, turn-off, 8, tap, 0, ['tap'], [0]
P01_01_92, P01, P01_01, 00:07:28.199, 00:07:30.08, 00:07:30.80, 27004, 27048, take spatula, take, 0, spatula, 20, ['spatula'], [20]
P01_01_95, P01, P01_01, 00:07:47.669, 00:07:47.50, 00:07:48.55, 28050, 28113, take glass, take, 0, glass, 10, ['glass'], [10]
P01_01_96, P01, P01_01, 00:07:46.520, 00:07:49.14, 00:07:50.32, 28148, 28219, take glass, take, 0, glass, 10, ['glass'], [10]
P01_01_98, P01, P01_01, 00:07:52.020, 00:07:54.18, 00:07:57.23, 28450, 28633, put glass into cupboard, put-into, 5, glass, 10, ['glass', 'cupboard'], [10, 3]
P01_02_0, P01, P01_02, 00:00:05.210, 00:00:05.07, 00:00:06.84, 304, 410, take plate, take, 0, plate, 2, ['plate'], [2]
P01_02_100, P01, P01_02, 00:05:33.849, 00:05:33.31, 00:05:34.06, 19998, 20043, take rag, take, 0, rag, 17, ['rag'], [17]
P01_02_102, P01, P01_02, 00:05:43.520, 00:05:42.85, 00:05:47.10, 20571, 20826, rinse rag, rinse, 2, rag, 17, ['rag'], [17]
P01_02_113, P01, P01_02, 00:06:23.759, 00:06:23.35, 00:06:27.09, 23001, 23225, wipe cooker, wipe, 2, cooker, 46, ['cooker'], [46]
P01_02_114, P01, P01_02, 00:06:29.169, 00:06:27.09, 00:06:33.36, 23225, 23601, still wiping cooker, wipe, 2, cooker, 46, ['cooker'], [46]
P01_02_115, P01, P01_02, 00:06:44.919, 00:06:33.46, 00:06:47.45, 23607, 24447, still wiping cooker, wipe, 2, cooker, 46, ['cooker'], [46]
P01_02_116, P01, P01_02, 00:06:38.039, 00:06:44.28, 00:06:47.51, 24256, 24450, still wiping cooker, wipe, 2, cooker, 46, ['cooker'], [46]
P01_02_12, P01, P01_02, 00:00:35.550, 00:00:34.64, 00:00:35.70, 2078, 2142, take fork, take, 0, fork, 14, ['fork'], [14]
P01_02_120, P01, P01_02, 00:06:58.189, 00:06:57.65, 00:06:59.53, 25059, 25171, open tap, turn-on, 6, tap, 0, ['tap'], [0]
P01_02_121, P01, P01_02, 00:06:59.189, 00:06:59.32, 00:07:04.40, 25159, 25464, rinse rag, rinse, 2, rag, 17, ['rag'], [17]
P01_02_122, P01, P01_02, 00:07:05.520, 00:07:04.49, 00:07:05.83, 25469, 25549, close tap, turn-off, 8, tap, 0, ['tap'], [0]
P01_02_127, P01, P01_02, 00:07:25.499, 00:07:24.79, 00:07:25.95, 26687, 26757, put down rag, put-down, 1, rag, 17, ['rag'], [17]
P01_02_128, P01, P01_02, 00:07:26.499, 00:07:25.95, 00:07:27.33, 26757, 26839, take cloth, take, 0, cloth, 17, ['cloth'], [17]
P01_02_13, P01, P01_02, 00:00:36.550, 00:00:35.49, 00:00:41.24, 2129, 2474, wash fork, wash, 2, fork, 14, ['fork'], [14]
P01_02_130, P01, P01_02, 00:07:31.580, 00:07:31.18, 00:07:33.43, 27070, 27205, put down cloth, put-down, 1, cloth, 17, ['cloth'], [17]
P01_02_14, P01, P01_02, 00:00:41.980, 00:00:41.75, 00:00:42.63, 2505, 2557, take knife, take, 0, knife, 4, ['knife'], [4]
P01_02_15, P01, P01_02, 00:00:42.980, 00:00:42.69, 00:00:49.44, 2561, 2966, wash knife, wash, 2, knife, 4, ['knife'], [4]
P01_02_16, P01, P01_02, 00:00:49.320, 00:00:49.51, 00:00:50.02, 2970, 3001, put down knife, put-down, 1, knife, 4, ['knife'], [4]
P01_02_17, P01, P01_02, 00:00:50.320, 00:00:50.32, 00:00:51.14, 3019, 3068, take plate, take, 0, plate, 2, ['plate'], [2]
P01_02_18, P01, P01_02, 00:00:51.320, 00:00:50.89, 00:01:00.52, 3053, 3631, wash plate, wash, 2, plate, 2, ['plate'], [2]
P01_02_19, P01, P01_02, 00:00:58.269, 00:01:00.45, 00:01:03.42, 3627, 3805, still washing plate, wash, 2, plate, 2, ['plate'], [2]
P01_02_20, P01, P01_02, 00:01:03.199, 00:01:03.16, 00:01:04.13, 3789, 3847, put down plate, put-down, 1, plate, 2, ['plate'], [2]
P01_02_21, P01, P01_02, 00:01:04.199, 00:01:04.23, 00:01:04.86, 3853, 3891, take spatula, take, 0, spatula, 20, ['spatula'], [20]
P01_02_22, P01, P01_02, 00:01:06.930, 00:01:06.61, 00:01:07.63, 3996, 4057, open tap, turn-on, 6, tap, 0, ['tap'], [0]
P01_02_23, P01, P01_02, 00:01:07.930, 00:01:07.38, 00:01:09.37, 4042, 4162, rinse spatula, rinse, 2, spatula, 20, ['spatula'], [20]
P01_02_24, P01, P01_02, 00:01:08.930, 00:01:09.32, 00:01:17.33, 4159, 4639, wash spatula, wash, 2, spatula, 20, ['spatula'], [20]
P01_02_25, P01, P01_02, 00:01:19.040, 00:01:16.18, 00:01:21.23, 4570, 4873, still washing spatula, wash, 2, spatula, 20, ['spatula'], [20]
P01_02_26, P01, P01_02, 00:01:20.479, 00:01:20.12, 00:01:22.00, 4807, 4920, put down spatula, put-down, 1, spatula, 20, ['spatula'], [20]
P01_02_27, P01, P01_02, 00:01:22.299, 00:01:22.10, 00:01:22.92, 4926, 4975, take colander, take, 0, colander, 39, ['colander'], [39]
P01_02_28, P01, P01_02, 00:01:23.340, 00:01:22.91, 00:01:28.34, 4974, 5300, wash colander, wash, 2, colander, 39, ['colander'], [39]
P01_02_29, P01, P01_02, 00:01:28.530, 00:01:28.08, 00:01:29.72, 5284, 5383, put down colander, put-down, 1, colander, 39, ['colander'], [39]
P01_02_30, P01, P01_02, 00:01:29.530, 00:01:29.79, 00:01:31.38, 5387, 5482, take saucepan, take, 0, saucepan, 5, ['saucepan'], [5]
P01_02_31, P01, P01_02, 00:01:32.020, 00:01:31.48, 00:01:35.73, 5488, 5743, wash saucepan, wash, 2, saucepan, 5, ['saucepan'], [5]
P01_02_32, P01, P01_02, 00:01:37.630, 00:01:35.71, 00:01:41.20, 5742, 6072, still washing saucepan, wash, 2, saucepan, 5, ['saucepan'], [5]
P01_02_33, P01, P01_02, 00:01:45.130, 00:01:41.30, 00:01:48.40, 6078, 6504, still washing saucepan, wash, 2, saucepan, 5, ['saucepan'], [5]
P01_02_34, P01, P01_02, 00:01:50.070, 00:01:49.17, 00:01:51.29, 6550, 6677, take colander, take, 0, colander, 39, ['colander'], [39]
P01_02_35, P01, P01_02, 00:01:48.920, 00:01:49.17, 00:01:50.91, 6550, 6654, put down saucepan, put-down, 1, saucepan, 5, ['saucepan'], [5]
P01_02_36, P01, P01_02, 00:01:51.149, 00:01:50.75, 00:01:52.25, 6645, 6735, put down colander, put-down, 1, colander, 39, ['colander'], [39]
P01_02_38, P01, P01_02, 00:01:57.759, 00:01:56.69, 00:02:03.94, 7001, 7436, wash pan, wash, 2, pan, 5, ['pan'], [5]
P01_02_39, P01, P01_02, 00:02:06.549, 00:02:05.13, 00:02:11.38, 7507, 7882, still washing pan, wash, 2, pan, 5, ['pan'], [5]
P01_02_4, P01, P01_02, 00:00:20.860, 00:00:21.01, 00:00:22.56, 1260, 1353, put down plate, put-down, 1, plate, 2, ['plate'], [2]
P01_02_40, P01, P01_02, 00:02:16.000, 00:02:11.48, 00:02:16.33, 7888, 8179, continue washing pan, wash, 2, pan, 5, ['pan'], [5]
P01_02_41, P01, P01_02, 00:02:17.910, 00:02:16.33, 00:02:17.93, 8179, 8275, put down pan, put-down, 1, pan, 5, ['pan'], [5]
P01_02_42, P01, P01_02, 00:02:19.350, 00:02:18.53, 00:02:20.53, 8311, 8431, take cutting board, take, 0, board:cutting, 18, ['board:cutting'], [18]
P01_02_43, P01, P01_02, 00:02:21.080, 00:02:20.87, 00:02:26.62, 8452, 8797, wash cutting board, wash, 2, board:cutting, 18, ['board:cutting'], [18]
P01_02_44, P01, P01_02, 00:02:30.000, 00:02:27.73, 00:02:32.22, 8863, 9133, still washing cutting board, wash, 2, board:cutting, 18, ['board:cutting'], [18]
P01_02_45, P01, P01_02, 00:02:31.720, 00:02:32.32, 00:02:33.57, 9139, 9214, put down cutting board, put-down, 1, board:cutting, 18, ['board:cutting'], [18]
P01_02_46, P01, P01_02, 00:02:33.800, 00:02:33.75, 00:02:34.79, 9225, 9287, take grater, take, 0, grater, 96, ['grater'], [96]
P01_02_47, P01, P01_02, 00:02:34.810, 00:02:34.71, 00:02:37.06, 9282, 9423, wash grater, wash, 2, grater, 96, ['grater'], [96]
P01_02_48, P01, P01_02, 00:02:41.810, 00:02:35.68, 00:02:43.60, 9340, 9816, still washing grater, wash, 2, grater, 96, ['grater'], [96]
P01_02_49, P01, P01_02, 00:02:43.590, 00:02:43.39, 00:02:43.96, 9803, 9837, put down sponge, put-down, 1, sponge, 9, ['sponge'], [9]
P01_02_5, P01, P01_02, 00:00:24.369, 00:00:24.02, 00:00:25.25, 1441, 1515, take sponge, take, 0, sponge, 9, ['sponge'], [9]
P01_02_50, P01, P01_02, 00:02:45.750, 00:02:44.84, 00:02:46.74, 9890, 10004, put down grater, put-down, 1, grater, 96, ['grater'], [96]
P01_02_51, P01, P01_02, 00:02:48.450, 00:02:48.31, 00:02:49.34, 10098, 10160, take spoon, take, 0, spoon, 1, ['spoon'], [1]
P01_02_52, P01, P01_02, 00:02:51.040, 00:02:50.83, 00:02:51.46, 10249, 10287, take sponge, take, 0, sponge, 9, ['sponge'], [9]
P01_02_53, P01, P01_02, 00:02:52.040, 00:02:51.54, 00:02:53.54, 10292, 10412, wash spoon, wash, 2, spoon, 1, ['spoon'], [1]
P01_02_54, P01, P01_02, 00:02:53.770, 00:02:52.98, 00:02:53.71, 10378, 10422, put down sponge, put-down, 1, sponge, 9, ['sponge'], [9]
P01_02_55, P01, P01_02, 00:02:54.770, 00:02:53.74, 00:02:55.49, 10424, 10529, open tap, turn-on, 6, tap, 0, ['tap'], [0]
P01_02_57, P01, P01_02, 00:02:57.420, 00:02:56.55, 00:02:59.73, 10593, 10783, rinse spoon, rinse, 2, spoon, 1, ['spoon'], [1]
P01_02_58, P01, P01_02, 00:03:02.170, 00:03:01.48, 00:03:08.71, 10888, 11322, rinse grater, rinse, 2, grater, 96, ['grater'], [96]
P01_02_59, P01, P01_02, 00:03:14.220, 00:03:08.81, 00:03:19.08, 11328, 11944, still rinsing grater, rinse, 2, grater, 96, ['grater'], [96]
P01_02_60, P01, P01_02, 00:03:19.570, 00:03:19.58, 00:03:20.50, 11974, 12030, put down grater, put-down, 1, grater, 96, ['grater'], [96]
P01_02_61, P01, P01_02, 00:03:20.570, 00:03:20.43, 00:03:22.26, 12025, 12135, take colander, take, 0, colander, 39, ['colander'], [39]
P01_02_62, P01, P01_02, 00:03:22.430, 00:03:22.42, 00:03:30.66, 12145, 12639, rinse colander, rinse, 2, colander, 39, ['colander'], [39]
P01_02_63, P01, P01_02, 00:03:30.010, 00:03:28.16, 00:03:36.92, 12489, 13015, still rinsing colander, rinse, 2, colander, 39, ['colander'], [39]
P01_02_64, P01, P01_02, 00:03:37.290, 00:03:37.48, 00:03:38.43, 13048, 13105, put down colander, put-down, 1, colander, 39, ['colander'], [39]
P01_02_65, P01, P01_02, 00:03:38.290, 00:03:38.35, 00:03:39.61, 13101, 13176, take spatula, take, 0, spatula, 20, ['spatula'], [20]
P01_02_67, P01, P01_02, 00:03:46.420, 00:03:46.66, 00:03:48.11, 13599, 13686, put down spatula, put-down, 1, spatula, 20, ['spatula'], [20]
P01_02_68, P01, P01_02, 00:03:50.400, 00:03:50.37, 00:03:51.17, 13822, 13870, take saucepan, take, 0, saucepan, 5, ['saucepan'], [5]
P01_02_69, P01, P01_02, 00:03:51.400, 00:03:51.27, 00:03:58.94, 13876, 14336, rinse saucepan, rinse, 2, saucepan, 5, ['saucepan'], [5]
P01_02_7, P01, P01_02, 00:00:26.460, 00:00:26.26, 00:00:27.30, 1575, 1638, open tap, turn-on, 6, tap, 0, ['tap'], [0]
